zip_code,latitude,longitude,city,state,county,active
00984,18.3828,-65.9578,Carolina,PR,Carolina,True
00985,18.4062,-65.9439,Carolina,PR,Carolina Municipio,True
00986,18.3828,-65.9578,Carolina,PR,Carolina,True
00987,18.3311,-65.9503,Carolina,PR,Carolina Municipio,True
00988,18.3828,-65.9578,Carolina,PR,Carolina,True
01001,42.0702,-72.6227,Agawam,MA,Hampden County,True
01002,42.3671,-72.4646,Amherst,MA,Hampshire County,True
01003,42.3919,-72.5248,Amherst,MA,Hampshire County,True
01004,42.3845,-72.5132,Amherst,MA,Hampshire County,True
01005,42.4097,-72.1084,Barre,MA,Worcester County,True
01007,42.2751,-72.411,Belchertown,MA,Hampshire County,True
01008,42.1829,-72.9361,Blandford,MA,Hampden County,True
01009,42.2061,-72.3405,Bondsville,MA,Hampden County,True
01010,42.1165,-72.1885,Brimfield,MA,Hampden County,True
01011,42.2794,-72.9888,Chester,MA,Hampden County,True
01012,42.3923,-72.8256,Chesterfield,MA,Hampshire County,True
01013,42.1487,-72.6079,Chicopee,MA,Hampden County,True
01014,42.1707,-72.6048,Chicopee,MA,Hampden County,True
01020,42.1764,-72.5761,Chicopee,MA,Hampden County,True
01021,42.1707,-72.6048,Chicopee,MA,Hampden County,True
01022,42.1934,-72.5544,Chicopee,MA,Hampden County,True
01026,42.4633,-72.9202,Cummington,MA,Hampshire County,True
01027,42.2668,-72.669,Easthampton,MA,Hampshire County,True
01028,42.0672,-72.5056,East Longmeadow,MA,Hampden County,True
01029,42.1909,-73.0517,East Otis,MA,Berkshire County,True
01030,42.0718,-72.6751,Feeding Hills,MA,Hampden County,True
01031,42.3322,-72.1986,Gilbertville,MA,Worcester County,True
01032,42.4404,-72.7995,Goshen,MA,Hampshire County,True
01033,42.2557,-72.52,Granby,MA,Hampshire County,True
01034,42.1127,-72.952,Granville,MA,Hampden County,True
01035,42.3606,-72.5715,Hadley,MA,Hampshire County,True
01036,42.0648,-72.4318,Hampden,MA,Hampden County,True
01037,42.3479,-72.2253,Hardwick,MA,Worcester County,True
01038,42.3844,-72.6167,Hatfield,MA,Hampshire County,True
01039,42.3818,-72.7032,Haydenville,MA,Hampshire County,True
01040,42.202,-72.6262,Holyoke,MA,Hampden County,True
01041,42.2043,-72.6162,Holyoke,MA,Hampden County,True
01050,42.2653,-72.8733,Huntington,MA,Hampshire County,True
01053,42.3543,-72.7034,Leeds,MA,Hampshire County,True
01054,42.4682,-72.4993,Leverett,MA,Franklin County,True
01056,42.1728,-72.471,Ludlow,MA,Hampden County,True
01057,42.101,-72.3196,Monson,MA,Hampden County,True
01059,42.4104,-72.5309,North Amherst,MA,Hampshire County,True
01060,42.3223,-72.6313,Northampton,MA,Hampshire County,True
01061,42.3696,-72.636,Northampton,MA,Hampshire County,True
01062,42.3219,-72.6928,Florence,MA,Hampshire County,True
01063,42.3179,-72.6402,Northampton,MA,Hampshire County,True
01066,42.4112,-72.6223,North Hatfield,MA,Hampshire County,True
